asset_id,kind,file,origin,tool,licence,notes
boss/king_goldenfang/idle/1,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/idle/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/idle/2,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/idle/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/idle/3,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/idle/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/roar/0,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/roar/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/roar/1,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/roar/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/roar/2,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/roar/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/roar/3,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/roar/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/volley/0,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/volley/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/volley/1,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/volley/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/volley/2,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/volley/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/volley/3,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/volley/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/walk/0,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/walk/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/walk/1,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/walk/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/walk/2,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/walk/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/walk/3,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/walk/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/windup/0,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/windup/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/windup/1,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/windup/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
